CODE,NAME,TITLE,CONTENT
APA,APA,APA,APA
MLA,MLA,MLA,MLA
Turabian,Turabian,Turabian,Turabian
Chicago,Chicago,Chicago,Chicago
Harvard,Harvard,Harvard,Harvard
Oxford,Oxford,Oxford,Oxford
Vancouver,Vancouver,Vancouver,Vancouver
CBE,CBE,CBE,CBE
Other,Other,Other,Other
