CODE,DATE_VALUE,DATE_UNIT,NAME,TITLE,CONTENT
6,12,H,12 hours,12 hours,12 hours
7,24,H,24 hours,24 hours,24 hours
8,48,H,48 hours,48 hours,48 hours
9,3,D,3 days,3 days,3 days
10,4,D,4 days,4 days,4 days
11,5,D,5 days,5 days,5 days
12,7,D,7 days,7 days,7 days
13,10,D,10 days,10 days,10 days
14,20,D,20 days,20 days,20 days
15,30,D,30 days,30 days,30 days
16,6,H,6 hours,6 hours,6 hours
